Signature1 Signature2 Signature3 Signature4 Signature5 Signature6 Signature7 Signature8 Signature9 Signature10 Signature11 Signature12 Signature13 Signature14 Signature15 Signature16 Signature17 Signature18 Signature20
GCA>GTA 0.0174706787552366 0.00457286346256094 0.00770334821863878 0.00748179040525738 0.0070276570655364 0.0050332302830332 0.00453185051778814 0.0132260161897724 0.00668349914978275 0.0120089633116502 0.0202475015866463 0.0202629629522412 0.0127513920293503 0.00735279541706382 0.0296593733192742 0.00646490125067606 0.0254849531765154 0.00290758540948662 0.00315840244660447
GCC>GTC 0.0175157114699817 0.00424348362065457 0.0089445238080372 0.00657998550411328 0.0182867292651755 0.00402409602327443 0.00755932262321492 0.00561206129180862 0.0384635787815647 0.00473972987103059 0.00482729165198249 0.00618211067865062 0.0172073857629979 0.00877243459423857 0.00697855545723178 0.00491482820134459 0.00911746372282736 0.0126415583108417 0.00583469751725296
GCG>GTG 0.027002306599796 0.00665815208045374 0.0102229265668829 0.0144255247044925 0.021640356623794 0.0713761931119616 0.0726748693387633 0.0305754878553629 0.0752206288915307 0.00598228314485068 0.025677677129998 0.00424162866897244 0.0488707106811921 0.0581368251689586 0.0226815152631121 0.0137517561753056 0.0174508994197396 0.0121843645829864 0.0209629672815842
GCT>GTT 0.0202462236803847 0.0037133803660247 0.00244385016977483 0.00746657088030812 0.0146012597489075 0.0047100146009078 0.0216225784690022 0.00421011709591275 0.00154312074143968 0.00756619232649473 0.00752179807243068 0.0561174296260244 0.00671395476141834 0.00378181882437992 0.00411511440869964 0.00339160290296978 0.0288781684897468 0.0080683678376329 0.0281083191447792
TCA>TTA 0.0191150625779196 0.177554837468763 0.0158373240638049 0.006185052013324 0.00267840302654237 0.0114913596445861 0.00399233926848347 0.244228708402203 0.00330702429594236 0.00772153942863171 0.0257331638467307 0.0115033407955416 0.0186223694998463 0.0115983051890307 0.0138799638570383 0.00671434101113946 0.0260860027684537 0.0180312190543761 0.0239717690862052
TCC>TTC 0.0196200080686409 0.0323345266510495 0.0152525286147022 0.00381958845935289 0.01014850345609 0.00813187534941305 0.00377523384562526 0.0602654725628105 0.00721818706769286 0.00710095245157247 0.00671184435493958 0.0235738347776387 0.00749541817486344 0.0063158395568873 0.0114404125082343 0.00900728478480392 0.0113558668884249 0.0379331804405841 0.00717897401596452
TCG>TTG 0.0188733137271449 0.0191153666068135 0.0116115347673239 0.00884248231909522 0.0178156880874045 0.0567339272888236 0.0443634945065931 0.0247386133348753 0.00444572177483969 0.00302036336832255 0.0419436726329145 0.00330923976657214 0.00905394754795356 0.00404775375697167 0.00666287540670772 0.00134167226786463 0.00415288788726529 0.0190211149871436 0.0353755767228497
TCT>TTT 0.0191017984532819 0.0655895981834486 0.0126141659129628 0.00285294925535065 0.0147523589034022 0.00549470870035777 0.00830396854291759 0.130884533738111 0.00296043108796854 0.0216559081199798 0.00482065847538745 0.00376087120002471 0.0284081655063422 0.00408911127775408 0.0164865209856762 0.00734401142032509 0.0101324248127366 0.00445334576402054 0.00355826785662575
ATA>AAA 0.00786609006645335 0.00133548220744615 0.0215361194320511 0.00371652298188396 0.00764643339382275 0.00995111440169039 0.000994933235828889 0.00197580536900202 0.00695989738676155 0.0146812492314425 0.00182710363079135 0.00263837608209483 0.0331659614265423 0.017248926053202 0.0328644220549402 0.0114454686693831 0.0216999021965995 0.0143210455680883 0.0124833951547809
ATC>AAC 0.00572303452761126 0.00142261281289664 0.014986266955184 0.00381444858034593 0.0119693278372444 0.00186387562296057 0.0014576293969922 0.00677508841775532 0.00123007494425337 0.00323997458113507 0.00647215077395194 0.0134521300007537 0.0140539376368591 0.0124267172325067 0.0342339057662933 0.00432635198615421 0.0109541699026118 0.0228356354057103 0.0040028565863613
ATG>AAG 0.00835979660808789 0.00099027791364543 0.0158695029232602 0.00310360934677494 0.0126316157122512 0.0011616349526148 0.00331595587707002 0.0026398452475386 0.00888557048263115 0.0303504279159212 0.00564014517726333 0.00672172264210785 0.00680417751142597 0.0353508229752234 0.0195899654761154 0.00535989521411063 0.0162839677009897 0.0235330875491935 0.0124557696888393
ATT>AAT 0.0112088505284358 0.000847326745656125 0.0224021996386027 0.0171753303909393 0.0155610828417869 0.0445137624637594 0.00966900300263157 0.0071550992028166 0.018390509225591 0.0125055643933137 0.00643773112769878 0.0185445196252638 0.00933636734471062 0.00633655039375346 0.00501141286084931 0.0147017347932778 0.00935141079442274 0.00884268556442688 0.00785833277238687
CTA>CAA 0.00453021579549549 0.000930714826289505 0.0107885482504741 0.00332347855475759 0.00545041063384468 0.00162755060229424 0.00215535162777341 0.000840532297169776 0.00846331671144405 0.00607773301289 0.0115969284251339 0.00545545976314067 0.00419513989285303 0.00360430085974142 0.00839000114791914 0.0087413034299994 0.010498125937503 0.0101863258678557 0.0144756128314052
CTC>CAC 0.0050255174014403 0.000495790189583898 0.00951795419683195 0.00282229589445106 0.00743024442016399 0.00318154428495818 0.0180626603277406 0.00195721881445213 0.00299244685426075 0.0224049650903311 0.00527100664290203 0.0103174770318636 0.0042059020862706 0.00434457915964528 0.00109089531527614 0.00304531594945732 0.0136757228295012 0.00635875568025878 0.00571109993783303
CTG>CAG 0.00687328940121397 0.000784148045600369 0.013372319236441 0.00373446448544565 0.0074845259243645 0.00353042565194521 0.0218119640002777 0.00515574159477403 0.00266144429891062 0.00827565969146126 0.0309763417041709 0.00197456184865087 0.00738013299824654 0.00780304245354363 0.0119520243566594 0.00665319845184395 0.00942011393457197 0.00510836458602716 0.00894993995978764
CTT>CAT 0.00488410758836692 0.000297953547556189 0.00605211204927753 0.00195862725933358 0.0100426008984768 0.00880175220538143 0.00769795971121793 0.00277766399643163 0.00399258794249987 0.0157846205980106 0.00323031572154543 0.020105901628015 0.0106701381615227 0.00736561112844977 0.00572521306357573 0.0152163751837433 0.0104911912734223 0.00771701104409446 0.00640778655931878
GTA>GAA 0.00345941198058908 0.000289716998303147 0.00446502863571148 0.00246745516276604 0.00538988936567085 0.00159067451278396 0.0151086660186007 0.00104473761448014 0.00926689668815617 0.0067256385181707 0.00312560494719501 0.00671862164033615 0.00353216892097592 0.00821485434113259 0.00461374978677404 0.00526296711998182 0.0133678792477835 0.00420021106353259 0.00713211162094232
GTC>GAC 0.00199543655532996 0.000169744596411315 0.00449021104179494 0.00258784019264869 0.0068832522930914 0.000596444416106847 0.00387244673142305 0.000792072706880576 0.00808486179968535 0.00224547014294085 0.00203750157348899 0.00482206967378857 0.00319470212912567 0.0105079769425088 0.000935574877767249 0.00584956822333218 0.0110497860610406 0.00754354509865416 0.00496944141459186
GTG>GAG 0.00319667099597418 0.000652764569916138 0.00859671055012999 0.00157287722351635 0.00509549291655224 0.00241005667427941 0.00913589632848131 0.00115023256347571 0.00389332567406861 0.0158397507539481 0.0217273635314883 0.00674521467003731 0.00554570040862087 0.0128210385997605 0.00647994173258441 0.00321903065596879 0.0011551588011236 0.00517028073382955 0.00286160865732604
